lsl_timestamp,ch_01
170354.33774719315,"{""marker"": ""P3_RECONNECTED"", ""lsl_time"": 170354.3377613, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 2, ""phase"": ""WORD_PHASE"", ""active_speaker"": null, ""player_id"": 3, ""value"": ""phase=WORD_PHASE"", ""server_time_utc"": ""2026-07-13T00:11:34.611196"", ""server_time_local"": ""2026-07-12T20:11:34.611196-04:00""}"
170355.1120709871,"{""marker"": ""P4_RECONNECTED"", ""lsl_time"": 170355.1120851, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 2, ""phase"": ""WORD_PHASE"", ""active_speaker"": null, ""player_id"": 4, ""value"": ""phase=WORD_PHASE"", ""server_time_utc"": ""2026-07-13T00:11:35.384807"", ""server_time_local"": ""2026-07-12T20:11:35.384807-04:00""}"
170355.7144006824,"{""marker"": ""P5_RECONNECTED"", ""lsl_time"": 170355.7144148, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 2, ""phase"": ""WORD_PHASE"", ""active_speaker"": null, ""player_id"": 5, ""value"": ""phase=WORD_PHASE"", ""server_time_utc"": ""2026-07-13T00:11:35.987473"", ""server_time_local"": ""2026-07-12T20:11:35.987473-04:00""}"
170363.03898432528,"{""marker"": ""G1_R2_SPEAKER_P1"", ""lsl_time"": 170363.0389985, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 2, ""phase"": ""SPEAKER_P1"", ""active_speaker"": 1, ""player_id"": null, ""value"": null, ""server_time_utc"": ""2026-07-13T00:11:43.312319"", ""server_time_local"": ""2026-07-12T20:11:43.312319-04:00""}"
170363.04234182523,"{""marker"": ""G1_R2_SPEECH_BOUNDARY_BEEP"", ""lsl_time"": 170363.042356, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 2, ""phase"": ""SPEAKER_P1"", ""active_speaker"": 1, ""player_id"": 1, ""value"": ""start=P1"", ""server_time_utc"": ""2026-07-13T00:11:43.315306"", ""server_time_local"": ""2026-07-12T20:11:43.315306-04:00""}"
170376.4855704204,"{""marker"": ""G1_R2_SPEAKER_P2"", ""lsl_time"": 170376.4855847, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 2, ""phase"": ""SPEAKER_P2"", ""active_speaker"": 2, ""player_id"": null, ""value"": null, ""server_time_utc"": ""2026-07-13T00:11:56.759003"", ""server_time_local"": ""2026-07-12T20:11:56.759003-04:00""}"
170376.49247072032,"{""marker"": ""G1_R2_SPEECH_BOUNDARY_BEEP"", ""lsl_time"": 170376.492485, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 2, ""phase"": ""SPEAKER_P2"", ""active_speaker"": 2, ""player_id"": 2, ""value"": ""start=P2"", ""server_time_utc"": ""2026-07-13T00:11:56.765693"", ""server_time_local"": ""2026-07-12T20:11:56.765693-04:00""}"
170377.73143711066,"{""marker"": ""G1_R2_SPEAKER_P3"", ""lsl_time"": 170377.7314514, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 2, ""phase"": ""SPEAKER_P3"", ""active_speaker"": 3, ""player_id"": null, ""value"": null, ""server_time_utc"": ""2026-07-13T00:11:58.004062"", ""server_time_local"": ""2026-07-12T20:11:58.004062-04:00""}"
170377.7368390106,"{""marker"": ""G1_R2_SPEECH_BOUNDARY_BEEP"", ""lsl_time"": 170377.7368533, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 2, ""phase"": ""SPEAKER_P3"", ""active_speaker"": 3, ""player_id"": 3, ""value"": ""start=P3"", ""server_time_utc"": ""2026-07-13T00:11:58.010141"", ""server_time_local"": ""2026-07-12T20:11:58.010141-04:00""}"
170378.76983040254,"{""marker"": ""G1_R2_SPEAKER_P4"", ""lsl_time"": 170378.7698447, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 2, ""phase"": ""SPEAKER_P4"", ""active_speaker"": 4, ""player_id"": null, ""value"": null, ""server_time_utc"": ""2026-07-13T00:11:59.043268"", ""server_time_local"": ""2026-07-12T20:11:59.043268-04:00""}"
170378.7741096025,"{""marker"": ""G1_R2_SPEECH_BOUNDARY_BEEP"", ""lsl_time"": 170378.7741239, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 2, ""phase"": ""SPEAKER_P4"", ""active_speaker"": 4, ""player_id"": 4, ""value"": ""start=P4"", ""server_time_utc"": ""2026-07-13T00:11:59.047266"", ""server_time_local"": ""2026-07-12T20:11:59.047266-04:00""}"
